id,name,road_type
29849338,Jalan Kramat Jaya Baru H3,living_street
499426434,Gang Melati 3,living_street
30108975,Jalan Jelambar Selatan VI,living_street
499426333,Gang Mangga I,living_street
33039926,Gang Gandeng,living_street
499426337,Gang Buntu,living_street
33041284,Jalan Gadang Terusan,living_street
499421670,Gang Swadaya VII,living_street
33165495,Jalan Kali Baru Timur V C,living_street
499421642,Jalan H. Gani,living_street
33165497,Jalan Kali Baru Timur V B,living_street
499250315,Gang H. Ma'ir,living_street
154827498,Jalan Bahari A.7,living_street
499250288,Gang H. Ayain,living_street
359284020,Jalan Gunung Indah II,living_street
499250265,Gang H. Radin,living_street
359284057,Jalan Gunung Indah VII,living_street
499250040,Gang Ciliwung II,living_street
359284059,Jalan Gunung Indah VI,living_street
499239197,Gang H. Alief,living_street
360053197,Jalan Valeria Boulevard,living_street
499239194,Gang Buntu,living_street
155107690,Jalan Raden Saleh Gang IX,living_street
499237602,Gang Marhamah,living_street
33165498,Jalan Kali Baru Timur V A,living_street
499239176,Gang 17 Ar Razaq,living_street
155115843,Gang Mohammad Ali V,living_street
515490363,Gang H. Komeng,living_street
28948445,Gang Kebon Kacang XLIII,living_street
515490389,Jalan KH. Abdul Hamid II,living_street
365813895,Jalan Nurul Amal I,living_street
499215877,Gang Rambutan,living_street
365820517,Jalan Kp. Utan Bahagia I,living_street
523649968,Gang Setia Karya VI,living_street
365820832,Jalan Kp Utan Bahagia 2,living_street
496601836,Jalan Salemba Tengah VI,living_street
28948446,Gang Kebon Kacang XLIV,living_street
517182315,Jalan Latumenten II B VI,living_street
28948447,Gang Kebon Kacang XLV,living_street
515996987,Gang 17,living_street
369457119,Jalan Cempaka Barat IX A,living_street
498869159,Gang H. Rimin 1,living_street
373152233,Gang Asam,living_street
499237574,Gang Perkutut II,living_street
373155653,Jalan Batu Kinyang III,living_street
524636957,Gang Pos,living_street
155922615,Gang Ikrela,living_street
521454633,Gang H. Mahmud,living_street
376783224,Jalan Marunda Masjid,living_street
523564631,Gang H. Mara'is,living_street
376789085,Jalan Marunda Pulo,living_street
524300786,Jalan Bulak,living_street
494220455,Gang IV,living_street
496584801,Jalan Kebon Kosong Gang IX,living_street
376789086,Jalan Marunda Pulo,living_street
515744388,Gang Kali,living_street
376789088,Jalan Marunda Pulo,living_street
498725272,Jalan Tanah Koja I,living_street
376925289,Jalan Marunda Pulo,living_street
496601838,Jalan Salemba Tengah V,living_street
494220450,Gang VIII,living_street
515552381,Gang H. Salam,living_street
376926102,Jalan Marunda Kongsi,living_street
515528344,Gang Kesehatan,living_street
376926090,Jalan Marunda Kongsi,living_street
496566832,Gang Galindra II,living_street
376926091,Jalan Marunda Kongsi,living_street
496601829,Jalan Pramuka Jati III,living_street
494220444,Gang V,living_street
496608239,Jalan H.Sari,living_street
376926092,Jalan Marunda Kongsi,living_street
496601833,Jalan Pramuka Jati II,living_street
376926093,Jalan Marunda Kongsi,living_street
496601828,Jalan Pramuka Jati IV,living_street
376926094,Jalan Marunda Kongsi,living_street
524098548,Gang H. Hasan III,living_street
494220415,Gang Togon XIII,living_street
515996982,Gang 16,living_street
376926095,Jalan Marunda Kongsi,living_street
496601787,Jalan Kramat Lontar V,living_street
376926096,Jalan Marunda Kongsi,living_street
496601815,Jalan Inspeksi,living_street
376926097,Jalan Marunda Kongsi,living_street
524098536,Gang 13 H. Sarmidi,living_street
376926098,Jalan Marunda Kongsi,living_street
496601788,Jalan Kramat Lontar II,living_street
376926099,Jalan Marunda Kongsi,living_street
496601774,Jalan Paseban Dalam Gang 5,living_street
378097799,Jalan Marunda Kongsi,living_street
498725291,Gang Haji Saprin II,living_street
378112904,Jalan Marunda Pulo,living_street
496601771,Jalan Paseban Dalam Gang 7,living_street
379498342,Jalan Marunda Kongsi,living_street
520201875,Gang Ilyas,living_street
29060818,Jalan Poncol,living_street
496601772,Jalan Paseban Dalam Gang 3,living_street
29060832,Jalan Poncol Gang I,living_street
496608243,Gang H. Muhamad,living_street
33167597,Jalan Cilincing Pagi 3,living_street
496601763,Jalan Kramat Sawah II,living_street
33167599,Jalan Cilincing Pagi 2,living_street
496601766,Jalan Kramat Sawah I,living_street
33167610,Jalan Toyota 2,living_street
515996968,Gang 19,living_street
155945096,Gang Macan Betawi,living_street
496601773,Jalan Paseban Dalam Gang 4,living_street
391870046,Gang Masjid II,living_street
516123780,Gang Puskesmas,living_street
392059308,Jalan A. Gang I,living_street
496601740,Jalan Kramat Sawah II,living_street
392059278,Jalan A. Gang V,living_street
517171032,Jalan Empang Bahagia Gang V,living_street
392059282,Jalan 5. Dermawan,living_street
496601741,Jalan Kramat Sawah I,living_street
392059287,Jalan A. Gang A-X,living_street
523649769,Gang Mushola Al-Hikmah,living_street
392059291,Jalan A. Gang II,living_street
496601742,Jalan Kramat Sawah IV,living_street
395497155,Gang Pesantren Mishbahul Huda,living_street
524288084,Gang Abd. Rohim,living_street
396509548,Jalan Swadaya II,living_street
524300780,Gang I H. Hamzah,living_street
401307384,Gang Bahagia 2,living_street
516123795,Gang Angsa I,living_street
401307405,Gang Bahagia 2,living_street
516544317,Gang Pijar,living_street
33167611,Jalan Toyota 3,living_street
496601745,Jalan Kramat Sawah V,living_street
155948298,Gang H. Dabling,living_street
523795979,Gang Langgar I,living_street
404034037,Gang Kili,living_street
498738170,Gang Belimbing I,living_street
404034042,Gang At Taqwa,living_street
523649824,Gang Gotong Royong,living_street
404102353,Gang Mekar II,living_street
496601743,Jalan Kramat Sawah IV,living_street
404118254,Gang Jambu,living_street
516515266,Gg. Haji Abidin,living_street
404125169,Gang Wadas II,living_street
553172937,Jalan Kecapi VI,living_street
404358164,Gang Pengembangan,living_street
526701951,Jalan Agung Barat 37,living_street
475141056,Gang Remaja II,living_street
496586422,Gang Songsi 1,living_street
410050686,Gang Haji Amsar,living_street
523649832,Gang Pelita IV,living_street
414239677,Gang Betawi I,living_street
516585270,Gang Kancil,living_street
155952525,Gang Gotong Royong,living_street
524098552,Gang H. Jailani,living_street
481674325,Jalan Anyer V,living_street
499215944,Jalan Rukun II,living_street
430272889,Gang H. Ijo,living_street
524899059,Gang Swadaya V,living_street
482128572,Jalan Johar Baru IV,living_street
516546151,Gang H. Saudi,living_street
482133477,Gang Farmasi,living_street
516585275,Gang Tabah V,living_street
482351472,Jalan Kramat Jaya RT 05 RW 01,living_street
516589801,Gang Darussalam,living_street
432785210,Gang Mejing,living_street
517171026,Gang L,living_street
155957615,Gang Umi,living_street
516585318,Gang Dahlia IV,living_street
155962825,Jalan Margo Mulyo,living_street
516585289,Jalan Perdatam IV,living_street
482406885,Gang Urunsari,living_street
498731046,Jalan Angkasa Kecil,living_street
483409647,Gang Sukun V,living_street
516619186,Jalan Jaya VI,living_street
29093314,Jalan Tebet Dalam III A,living_street
528285566,Gang Gotong Royong,living_street
494141068,Gang Pori 2,living_street
523580996,Jalan Sunter Muara Barat 3,living_street
435993156,Gang Kebon Sirih Barat Dalam I No 10,living_street
522414593,Jalan KH. Abdullah,living_street
435993157,Gang Kebon Sirih Barat Dalam I No 09,living_street
523573398,Jalan Kumala,living_street
435993159,Gang Kebon Sirih Barat Dalam I No 08,living_street
523546078,Jalan Lurus Gang 3,living_street
435993163,Gang Kebon Sirih Timur 03,living_street
521750006,Gang Gotong Royong III,living_street
29093317,Jalan Tebet Dalam,living_street
521840729,Jalan H. Salihun,living_street
483897214,Jalan Kayu Manis Timur Gg. M,living_street
522414622,Jalan Jamlang,living_street
447197398,Gang H. Saian,living_street
499215923,Gang Damai,living_street
494141048,Gang H. Moh. Amin,living_street
522376569,Jalan Puakesmas A,living_street
447197648,Gang H. Biyul,living_street
517603706,Gang At Taubah,living_street
447489935,Jalan Otista V,living_street
499215941,Gang Angsa,living_street
447489937,Jalan Otista V,living_street
495401424,Gang P,living_street
452220282,Jalan Penggalangan Gang I,living_street
522390196,Gang H. Muhammad,living_street
452223800,Jalan Penggalang Gang III,living_street
502572300,Jalan H. Nuh,living_street
452226351,Jalan Penggalang GG IV,living_street
517266349,Gang Musholla,living_street
156830068,Jalan Poncol Jaya XI,living_street
522390203,Gang Namin,living_street
494141028,Gang Langgar 2,living_street
521856668,Gang Damai V,living_street
484562574,Gang R,living_street
496829839,Gang Masjid Al Barokah,living_street
454014925,Jalan Penegak Gang I,living_street
521758838,Gang H. Sa'alih,living_street
455059719,Gang Baung II,living_street
521707219,Gang Niaga III,living_street
484650683,Gang Staf III,living_street
